ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
373988341,Photo,Eurasian Blackbird,Turdus merula,,Christopher Tuffley,2021-09-28,2021,9,28,1154,New Zealand,NZ-MWT-040,Manawatu-Wanganui,Palmerston North City,"Savage Crescent, Palmerston North, Manawatu-Wanganui, NZ (-40.370, 175.604)",-40.3700090,175.6036757,Adult Female – 1,,Unspecified,"","",,,,,,,S95284281,"",,,,,Turdus merula,eurbla,Species,27987,,4.67,3,,2077,3115
266483191,Photo,Eurasian Blackbird,Turdus merula,,Christopher Tuffley,2020-09-27,2020,9,27,1642,New Zealand,NZ-MWT-040,Manawatu-Wanganui,Palmerston North City,"The Esplanade, Palmerston North, Manawatu-Wanganui, NZ (-40.372, 175.621)",-40.3722780,175.6212001,Adult Female – 1,,Unspecified,"","",,,,,,,S74107373,"",,,,,Turdus merula,eurbla,Species,27987,,4.67,3,,1404,1872
251543831,Photo,Eurasian Blackbird,Turdus merula,,PHILIP JACKSON,2020-07-26,2020,7,26,911,New Zealand,NZ-AUK-004,Auckland,Rodney District,Shakespear Regional Park (general),-36.6075759,174.8123197,"",,Unspecified,"","",,,,,,,S71821494,"",,,,,Turdus merula,eurbla,Species,27987,,4.25,4,,3456,4608
206068441,Photo,Eurasian Blackbird,Turdus merula,,Samantha Klein,2016-03-25,2016,3,25,0,New Zealand,NZ-WGN-047,Wellington,Wellington City,Wellington--Lambton Harbour,-41.2846753,174.7798841,Adult – 1,,Unspecified,"","",,IBC1115110,,,,,S65200459,"",,,"Adult. Elevation: 0 m. Date added to IBC: June 22, 2016.",,Turdus merula,eurbla,Species,27987,,4.00,4,,2248,4000
592777511,Photo,Eurasian Blackbird,Turdus merula,,Chris Rohrer,2023-07-10,2023,7,10,945,New Zealand,NZ-WGN-047,Wellington,Wellington City,Zealandia Te Mara a Tane Wildlife Sanctuary (General),-41.2954325,174.7487384,"",,Unspecified,"","",,,,,,,S144101007,"",,,,,Turdus merula,eurbla,Species,27987,,4.25,4,,3065,4099
480413041,Photo,Eurasian Blackbird,Turdus merula,,Ulises Cabrera Miranda,2022-09-02,2022,9,2,1700,New Zealand,NZ-OTA-070,Otago,Queenstown-Lakes District,"902 Malaghans Road, Arrowtown, Otago, NZ (-44.948, 168.792)",-44.9476452,168.7915404,"",,Unspecified,"","",,,,,,,S117938015,"",,,,,Turdus merula,eurbla,Species,27987,,4.00,4,,4000,6000
382154981,Photo,Eurasian Blackbird,Turdus merula,,Sara Dean,2021-10-17,2021,10,17,1049,New Zealand,NZ-AUK-007,Auckland,Auckland City,Michaels Avenue Reserve Pond,-36.8922860,174.8168483,Adult Male – 1,,Unspecified,"","",,,,,,,S96245792,"",,,Photo: Lucy Dean,,Turdus merula,eurbla,Species,27987,,4.33,3,,3456,5184
373988331,Photo,Eurasian Blackbird,Turdus merula,,Christopher Tuffley,2021-09-28,2021,9,28,1154,New Zealand,NZ-MWT-040,Manawatu-Wanganui,Palmerston North City,"Savage Crescent, Palmerston North, Manawatu-Wanganui, NZ (-40.370, 175.604)",-40.3700090,175.6036757,Adult Male – 1,Vocalizing,Unspecified,"","",,,,,,,S95284281,"",,,,,Turdus merula,eurbla,Species,27987,,4.33,3,"",2208,3312
373988321,Photo,Eurasian Blackbird,Turdus merula,,Christopher Tuffley,2021-09-28,2021,9,28,1154,New Zealand,NZ-MWT-040,Manawatu-Wanganui,Palmerston North City,"Savage Crescent, Palmerston North, Manawatu-Wanganui, NZ (-40.370, 175.604)",-40.3700090,175.6036757,Adult Female – 1,,Unspecified,"","",,,,,,,S95284281,"",,,,,Turdus merula,eurbla,Species,27987,,4.33,3,,2766,3688
373988311,Photo,Eurasian Blackbird,Turdus merula,,Christopher Tuffley,2021-09-28,2021,9,28,1154,New Zealand,NZ-MWT-040,Manawatu-Wanganui,Palmerston North City,"Savage Crescent, Palmerston North, Manawatu-Wanganui, NZ (-40.370, 175.604)",-40.3700090,175.6036757,Adult Female – 1,,Unspecified,"","",,,,,,,S95284281,"",,,,,Turdus merula,eurbla,Species,27987,,4.33,3,,2355,3532
